STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-TMIN-NORMAL,MLY-TMAX-NORMAL,MLY-PRCP-NORMAL
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201001,-43,145,55
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201002,4,199,44
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201003,140,318,72
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201004,294,517,98
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201005,417,656,249
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201006,521,743,376
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201007,564,793,322
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201008,542,789,275
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201009,438,685,208
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201010,310,531,169
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201011,165,337,81
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,201012,15,187,73
